"...1","Maximum value","Latitude","Longitude","M","Z","Singular_mean","Overall_mean","Area","Singular_max","Overall_max"
1946,60.7000007629395,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1947,54.5999984741211,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1948,59.7000007629395,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1949,100.599998474121,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1950,35.5999984741211,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1951,87.9000015258789,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1952,31,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1953,39.5999984741211,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1954,30,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1955,60.5,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1956,61.7000007629395,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1957,67.5999984741211,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1958,52.2999992370605,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1959,94.1999969482422,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1960,33.7999992370605,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1961,63.5,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1962,64.5,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1963,114.300003051758,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1964,73.1999969482422,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1965,72.4000015258789,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1966,37.5999984741211,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1967,37.7999992370605,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1968,101.599998474121,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1969,41.9000015258789,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1970,66,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1971,53.2999992370605,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1972,90.1999969482422,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1973,66,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1974,46.5,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1975,40.0999984741211,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1976,54.5999984741211,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1977,38.0999984741211,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1978,82.5999984741211,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1979,69.9000015258789,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1980,43.2000007629395,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1981,39.4000015258789,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1982,63.5,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1983,73.6999969482422,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1984,35.5999984741211,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
1985,62.2000007629395,37.1942,-99.7633,120,600.5,60.5766666412353,49.3105100255108,"North America",165.600006103516,252
