"...1","Maximum value","Latitude","Longitude","M","Z","Singular_mean","Overall_mean","Singular_max","Overall_max"
1938,40,36.63,4.2,53,942,65.2773585049611,45.886037812143,113,116.5
1917,34,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1918,39.4000015258789,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1919,44.5,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1920,69.3000030517578,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1921,104,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1922,51.0999984741211,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1923,40.5999984741211,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1924,29.2000007629395,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1925,61,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1926,56.5999984741211,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1927,40.5999984741211,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1928,27.3999996185303,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1929,45.7000007629395,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1930,58.4000015258789,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1931,40.5999984741211,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1932,41.4000015258789,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1933,14.1999998092651,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1934,57.9000015258789,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1935,44.2000007629395,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1936,60.2000007629395,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1937,38.5999984741211,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1938,44.5,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1939,43.2000007629395,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1940,30.5,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1941,21.7999992370605,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1942,43.2000007629395,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1943,59.7000007629395,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1944,61,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1945,95.3000030517578,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1946,34.2999992370605,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1947,50.7999992370605,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1948,26.3999996185303,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1949,54.5999984741211,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1950,23.1000003814697,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1951,28.2000007629395,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1952,53.7999992370605,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1953,43.7000007629395,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1954,29.2000007629395,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1955,49.7999992370605,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1956,75.6999969482422,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1957,52.2999992370605,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1958,34.5,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1959,24.3999996185303,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1960,25.3999996185303,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1961,33.5,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1962,33.7999992370605,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1963,31.5,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1964,49.2999992370605,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1965,35.7999992370605,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1966,67.8000030517578,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1967,58.2000007629395,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1968,44.9000015258789,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1969,72.8000030517578,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1970,55.2999992370605,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1971,40.7000007629395,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1972,27.7999992370605,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1973,36.5999984741211,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1974,28,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1975,50.2000007629395,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1976,50.5999984741211,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1977,53.9000015258789,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1978,30.3999996185303,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1979,28.2000007629395,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1980,32.2000007629395,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1981,33.2000007629395,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1982,28.5,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1983,27.5,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1984,39.5999984741211,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1985,43,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1986,33,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1987,49,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1988,39.9000015258789,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1989,43,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1990,65,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1991,42.7999992370605,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1992,51.2000007629395,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1993,56,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1994,56,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1995,29.6000003814697,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1996,68.0999984741211,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1997,25.1000003814697,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1998,39.5,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1999,35.5,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
2000,78.8000030517578,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
2001,46.0999984741211,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
2002,36.5999984741211,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
2003,71.3000030517578,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
2004,55.2000007629395,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
2005,37.2999992370605,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
2006,30.6000003814697,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
2007,36.2000007629395,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
2008,54.7999992370605,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
2009,38.4000015258789,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
2010,78,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
2011,44,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
2012,48.7000007629395,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
2013,15.8999996185303,34.6667,33.0497,97,5,44.7752578479728,45.886037812143,104,116.5
1938,21,28.4631,-16.2553,64,35,43.8593750447035,45.886037812143,116.5,116.5
1939,19.2999992370605,28.4631,-16.2553,64,35,43.8593750447035,45.886037812143,116.5,116.5
1940,36.5999984741211,28.4631,-16.2553,64,35,43.8593750447035,45.886037812143,116.5,116.5
1941,38.9000015258789,28.4631,-16.2553,64,35,43.8593750447035,45.886037812143,116.5,116.5
1942,19.7999992370605,28.4631,-16.2553,64,35,43.8593750447035,45.886037812143,116.5,116.5
1943,29,28.4631,-16.2553,64,35,43.8593750447035,45.886037812143,116.5,116.5
1944,100.099998474121,28.4631,-16.2553,64,35,43.8593750447035,45.886037812143,116.5,116.5
1945,58.2000007629395,28.4631,-16.2553,64,35,43.8593750447035,45.886037812143,116.5,116.5
1946,25.7999992370605,28.4631,-16.2553,64,35,43.8593750447035,45.886037812143,116.5,116.5
1947,35.2000007629395,28.4631,-16.2553,64,35,43.8593750447035,45.886037812143,116.5,116.5
1948,36.2000007629395,28.4631,-16.2553,64,35,43.8593750447035,45.886037812143,116.5,116.5
1949,34.0999984741211,28.4631,-16.2553,64,35,43.8593750447035,45.886037812143,116.5,116.5
1950,50.5,28.4631,-16.2553,64,35,43.8593750447035,45.886037812143,116.5,116.5
1951,47,28.4631,-16.2553,64,35,43.8593750447035,45.886037812143,116.5,116.5
1952,33.7999992370605,28.4631,-16.2553,64,35,43.8593750447035,45.886037812143,116.5,116.5
1953,69.4000015258789,28.4631,-16.2553,64,35,43.8593750447035,45.886037812143,116.5,116.5
1954,65.9000015258789,28.4631,-16.2553,64,35,43.8593750447035,45.886037812143,116.5,116.5
1955,58.7000007629395,28.4631,-16.2553,64,35,43.8593750447035,45.886037812143,116.5,116.5
1956,62.4000015258789,28.4631,-16.2553,64,35,43.8593750447035,45.886037812143,116.5,116.5
1957,82.4000015258789,28.4631,-16.2553,64,35,43.8593750447035,45.886037812143,116.5,116.5
1958,71,28.4631,-16.2553,64,35,43.8593750447035,45.886037812143,116.5,116.5
1959,71.8000030517578,28.4631,-16.2553,64,35,43.8593750447035,45.886037812143,116.5,116.5
1960,42.2000007629395,28.4631,-16.2553,64,35,43.8593750447035,45.886037812143,116.5,116.5
1961,36.2999992370605,28.4631,-16.2553,64,35,43.8593750447035,45.886037812143,116.5,116.5
1962,20.3999996185303,28.4631,-16.2553,64,35,43.8593750447035,45.886037812143,116.5,116.5
1963,16,28.4631,-16.2553,64,35,43.8593750447035,45.886037812143,116.5,116.5
1964,42.2000007629395,28.4631,-16.2553,64,35,43.8593750447035,45.886037812143,116.5,116.5
1965,34.4000015258789,28.4631,-16.2553,64,35,43.8593750447035,45.886037812143,116.5,116.5
1966,35.4000015258789,28.4631,-16.2553,64,35,43.8593750447035,45.886037812143,116.5,116.5
1967,38.7000007629395,28.4631,-16.2553,64,35,43.8593750447035,45.886037812143,116.5,116.5
1968,103.699996948242,28.4631,-16.2553,64,35,43.8593750447035,45.886037812143,116.5,116.5
1969,44,28.4631,-16.2553,64,35,43.8593750447035,45.886037812143,116.5,116.5
1970,25.7000007629395,28.4631,-16.2553,64,35,43.8593750447035,45.886037812143,116.5,116.5
1971,57.5,28.4631,-16.2553,64,35,43.8593750447035,45.886037812143,116.5,116.5
1972,25,28.4631,-16.2553,64,35,43.8593750447035,45.886037812143,116.5,116.5
1973,116.5,28.4631,-16.2553,64,35,43.8593750447035,45.886037812143,116.5,116.5
1974,58.2000007629395,28.4631,-16.2553,64,35,43.8593750447035,45.886037812143,116.5,116.5
1975,19.2000007629395,28.4631,-16.2553,64,35,43.8593750447035,45.886037812143,116.5,116.5
1976,25.3999996185303,28.4631,-16.2553,64,35,43.8593750447035,45.886037812143,116.5,116.5
1977,89.1999969482422,28.4631,-16.2553,64,35,43.8593750447035,45.886037812143,116.5,116.5
1978,20.8999996185303,28.4631,-16.2553,64,35,43.8593750447035,45.886037812143,116.5,116.5
1979,44,28.4631,-16.2553,64,35,43.8593750447035,45.886037812143,116.5,116.5
1980,19.6000003814697,28.4631,-16.2553,64,35,43.8593750447035,45.886037812143,116.5,116.5
1981,45.7999992370605,28.4631,-16.2553,64,35,43.8593750447035,45.886037812143,116.5,116.5
1982,32.2000007629395,28.4631,-16.2553,64,35,43.8593750447035,45.886037812143,116.5,116.5
1983,68.0999984741211,28.4631,-16.2553,64,35,43.8593750447035,45.886037812143,116.5,116.5
1984,43.0999984741211,28.4631,-16.2553,64,35,43.8593750447035,45.886037812143,116.5,116.5
1985,23.2999992370605,28.4631,-16.2553,64,35,43.8593750447035,45.886037812143,116.5,116.5
1986,51.4000015258789,28.4631,-16.2553,64,35,43.8593750447035,45.886037812143,116.5,116.5
1987,33,28.4631,-16.2553,64,35,43.8593750447035,45.886037812143,116.5,116.5
1988,26.6000003814697,28.4631,-16.2553,64,35,43.8593750447035,45.886037812143,116.5,116.5
1989,82.6999969482422,28.4631,-16.2553,64,35,43.8593750447035,45.886037812143,116.5,116.5
1990,31.3999996185303,28.4631,-16.2553,64,35,43.8593750447035,45.886037812143,116.5,116.5
1991,34.2999992370605,28.4631,-16.2553,64,35,43.8593750447035,45.886037812143,116.5,116.5
1992,12.8999996185303,28.4631,-16.2553,64,35,43.8593750447035,45.886037812143,116.5,116.5
1993,23.2999992370605,28.4631,-16.2553,64,35,43.8593750447035,45.886037812143,116.5,116.5
1994,19.2999992370605,28.4631,-16.2553,64,35,43.8593750447035,45.886037812143,116.5,116.5
1995,48.5999984741211,28.4631,-16.2553,64,35,43.8593750447035,45.886037812143,116.5,116.5
1996,103.800003051758,28.4631,-16.2553,64,35,43.8593750447035,45.886037812143,116.5,116.5
1997,33.4000015258789,28.4631,-16.2553,64,35,43.8593750447035,45.886037812143,116.5,116.5
1998,15.3000001907349,28.4631,-16.2553,64,35,43.8593750447035,45.886037812143,116.5,116.5
1999,32.4000015258789,28.4631,-16.2553,64,35,43.8593750447035,45.886037812143,116.5,116.5
2000,25.2000007629395,28.4631,-16.2553,64,35,43.8593750447035,45.886037812143,116.5,116.5
2001,39.2999992370605,28.4631,-16.2553,64,35,43.8593750447035,45.886037812143,116.5,116.5
